event_date,conflict_count,total_events_country
2025-06-09,1245,9370
2025-06-10,1533,11846
2025-06-11,1343,10372
2025-06-12,1309,9458
2025-06-13,4583,22260
2025-06-14,3351,13496
2025-06-15,19,117
2025-06-16,25,107
2025-06-17,3,109
2025-06-18,20,95
2025-06-19,18,74
2025-06-20,13,60
2025-06-21,18,57
2025-06-22,20,123
2025-06-23,18,96
2025-06-24,15,89
2025-06-25,20,407
2025-06-26,16,211
2025-06-27,14,171
2025-06-28,17,176
2025-06-29,11,165
2025-06-30,25,134
2025-07-01,20,231
2025-07-02,1505,10632
2025-07-03,1448,9876
2025-07-04,1372,8653
2025-07-05,1102,7004
2025-07-06,1477,9109
