week_start,conflict_count,total_events_country,avg_goldstein,goldstein_std,avg_tone,conflict_mentions,total_mentions_country
2022-01-03,3110,22681,-9.8731511254019271,0.30657432326771483,-5.8300908459900951,16717,117031
2022-01-10,2600,21527,-9.8071153846153827,0.3727018152458853,-5.6167484412095661,13593,113269
2022-01-17,2213,22635,-9.7826479891549933,0.37733820933484713,-4.9314166080636612,11800,117380
2022-01-24,1927,20627,-9.8053969901401175,0.35594919488141841,-4.8367331745544195,10111,103785
2022-01-31,2283,24808,-9.79150240911082,0.37869138270860081,-5.1363471824417708,12010,125553
2022-02-07,2844,24915,-9.8370253164556924,0.36545869018326294,-5.8959759216294056,15394,125781
2022-02-14,3252,25941,-9.8310270602706016,0.34742067981934,-6.1681712436268681,16775,126588
2022-02-21,2087,21184,-9.81839961667465,0.36187792838550592,-5.011187340433592,10922,104682
2022-02-28,2184,21562,-9.8466117216117226,0.32467251673664566,-5.4470339081135215,11012,101926
2022-03-07,2478,24285,-9.8549233252623054,0.32466555906805644,-5.4686404919199862,12771,111430
2022-03-14,2251,20776,-9.8680586406041684,0.30718319995977827,-5.3839256801289848,11917,102110
2022-03-21,2611,26737,-9.8399080811949453,0.35074173071169973,-6.0582703875308166,14679,126223
2022-03-28,6594,34097,-9.89353958143767,0.29086000562838771,-6.9381654680363143,33930,168600
2022-04-04,4745,25993,-9.8880927291886174,0.28693341384297905,-6.5585100056507324,24453,133805
2022-04-11,6495,27799,-9.8788298691300991,0.29421564149906831,-7.05979297379725,33091,142226
2022-04-18,5592,28107,-9.8678469241773943,0.30301025852448926,-5.7850259211144861,29751,144869
2022-04-25,4470,23685,-9.88109619686801,0.3065820162693611,-6.3286912509134829,22799,122312
2022-05-02,3825,25528,-9.85503267973856,0.34470198945807934,-6.3355982858766424,19730,127451
2022-05-09,9914,37849,-9.9156243695783779,0.25971874558542113,-6.3993786896079232,45404,182267
2022-05-16,4912,26766,-9.8891490228013037,0.29826473057375941,-6.22001206727468,23352,130232
2022-05-23,4995,27415,-9.89239239239239,0.2993153684827326,-5.7322624712805679,22786,132093
2022-05-30,3580,23065,-9.8738826815642415,0.31196142445983277,-6.15209568071035,17291,113641
2022-06-06,2741,21000,-9.8544326887997062,0.33631680560740956,-5.4378929605898714,14172,103897
2022-06-13,3369,25549,-9.86969427129712,0.31903012589573587,-5.7094888809462168,15927,125355
2022-06-20,2873,22656,-9.8557257222415586,0.3287777609730016,-5.3826113554549337,14353,111621
2022-06-27,2880,22110,-9.8335069444444425,0.33903023533716226,-5.7725403424333388,14082,110214
2022-07-04,3144,23367,-9.8851781170483441,0.29716515110243619,-5.3010428849853524,14251,109361
2022-07-11,2886,34799,-9.87110187110187,0.30395993992293308,-3.5302938239689556,13128,159493
2022-07-18,2623,20997,-9.8406404879908429,0.33959847739729748,-5.82183559777543,13128,100284
2022-07-25,2724,19580,-9.8491189427312751,0.33191588509554182,-5.7531362433048923,12751,95006
2022-08-01,7066,30550,-9.86505802434193,0.31736325801606857,-7.0315103599558189,35700,154446
2022-08-08,6103,26183,-9.8756349336392049,0.30779954982082608,-7.1480053369251477,30946,131234
2022-08-15,3479,21762,-9.865622305260132,0.3123987715097527,-5.90534874694204,17029,104868
2022-08-22,2321,19852,-9.8311072813442486,0.34851535752966206,-5.7220418916886784,11645,95984
2022-08-29,3145,19783,-9.8421303656597736,0.33761612202212993,-6.3399930336290256,16410,98741
2022-09-05,3962,20992,-9.9027006562342255,0.26764473535286254,-6.4094745574775942,19405,103048
2022-09-12,2889,20077,-9.8816199376947029,0.30034261293149361,-5.89134555738254,14025,95412
2022-09-19,2631,22332,-9.8612694792854416,0.31251668240745245,-6.1513524034602716,12834,108709
2022-09-26,2714,16739,-9.8526160648489345,0.32013544517630038,-6.5863336754831288,13513,83211
2022-10-03,3171,18664,-9.8711762850835729,0.29859054418685788,-6.5926888594192814,16009,91723
2022-10-10,4128,20919,-9.884689922480618,0.28854741068737189,-7.1276171683483609,20523,100903
2022-10-17,3184,22189,-9.8522298994974857,0.32404147915292264,-6.3142483543840511,15581,104785
2022-10-24,3928,24313,-9.87385437881873,0.3072607665928283,-6.38570004575624,19496,115643
2022-10-31,3091,22475,-9.8835328372694935,0.28815438902590462,-5.3941470050668388,14533,105824
2022-11-07,1837,16490,-9.8726183995645052,0.30041067161813,-5.2922647409065222,8836,81429
2022-11-14,2879,19203,-9.8680097255991654,0.31680064107813949,-5.7196773519574577,13870,93009
2022-11-21,2596,16585,-9.8281972265023114,0.35761787499562953,-6.6382684027733232,12812,83524
2022-11-28,3954,23001,-9.8612797167425352,0.32543804748467936,-6.7958302604131839,19149,111645
2022-12-05,3421,20529,-9.88102893890675,0.30037928175056461,-6.4953178455353857,16925,102680
2022-12-12,2369,16662,-9.8670325031658876,0.32919283355306,-5.9569033317595421,11057,83712
2022-12-19,1841,17083,-9.84736556219446,0.33183426567883306,-5.8862859377311478,9878,88616
2022-12-26,1968,19532,-9.8236788617886184,0.35170914307441653,-5.3539071866073922,10108,102527
2023-01-02,3424,27118,-9.8706191588785011,0.31385584043053405,-6.258016306263726,16538,134990
