horizon,model,n,MASE,sMAPE,RMSE,last_value_RMSE,vs_last_value_RMSE_pct
1,last_value,36,0.6386338128762371,15.042289236432932,2347.1993358516065,2347.1993358516065,0.0
1,ridge_log_history,36,0.7720408180327152,18.437788125468455,2886.6713736730517,2347.1993358516065,-22.983648196445785
1,ets,36,0.8545882591884909,21.004116572978354,2949.1282720654094,2347.1993358516065,-25.644559753397004
1,rolling_mean_4w,36,0.8796678910315274,20.75068144537734,3087.438453052771,2347.1993358516065,-31.537121960397634
1,xgb_gdelt_features,36,0.9349210420173962,22.86504277566963,3087.804853247488,2347.1993358516065,-31.552732061726513
1,xgb_gdelt_world_bank,36,0.9551606199204002,23.400302405741037,3127.845457917691,2347.1993358516065,-33.258620609776706
1,xgb_target_history,36,1.0133368324082843,24.689986148797306,3314.3433168944107,2347.1993358516065,-41.204168997087194
1,seasonal_naive_52w,36,2.3672711968166515,48.81542600006264,6950.798457331679,2347.1993358516065,-196.13157907655093
2,last_value,35,0.9099829463465827,21.070571811330886,3320.9083352945127,3320.9083352945127,0.0
2,ridge_log_history,35,0.8525261778431287,20.372684765450547,3352.635330904642,3320.9083352945127,-0.9553710131934676
2,ets,35,1.096267823922392,26.809540724419108,3601.7521342850123,3320.9083352945127,-8.45683682400084
2,rolling_mean_4w,35,1.11406598452053,26.228800917917468,3764.111176388695,3320.9083352945127,-13.345831813056574
2,xgb_gdelt_features,35,1.5048493252328479,34.19175152419099,4214.039623517225,3320.9083352945127,-26.8941867118264
2,xgb_target_history,35,1.5193831706882133,33.609008840960215,4420.536914684312,3320.9083352945127,-33.11228339858046
2,xgb_gdelt_world_bank,35,1.5402258238328908,34.085091831508024,4515.772558548714,3320.9083352945127,-35.980042284070926
2,seasonal_naive_52w,35,2.107044470680834,46.94165164802677,5643.300761585749,3320.9083352945127,-69.93244593983279
3,ridge_log_history,34,0.9332517717954618,22.68472481507839,3647.1937558032882,3979.2406939012876,8.344479855337859
3,last_value,34,1.150907470426187,26.21835522347014,3979.2406939012876,3979.2406939012876,0.0
3,ets,34,1.3065858891297526,32.01440477729203,4115.049741633517,3979.2406939012876,-3.412938753375114
3,rolling_mean_4w,34,1.3886998325500999,32.88508372639604,4360.963638534223,3979.2406939012876,-9.592858889334742
3,seasonal_naive_52w,34,1.9804866850321396,46.04025524332633,5201.046277659231,3979.2406939012876,-30.70449057355395
3,xgb_target_history,34,2.057578613993376,44.60944424841727,5549.850937981563,3979.2406939012876,-39.47009906908731
3,xgb_gdelt_world_bank,34,2.2073661471626354,47.72671137269956,5756.937879169984,3979.2406939012876,-44.674281402310044
3,xgb_gdelt_features,34,2.225171559132434,47.243659028686196,5869.580145958641,3979.2406939012876,-47.50502916183352
4,ridge_log_history,33,1.0902619365648025,27.26874827360442,3980.092629646242,4662.4147697141325,14.634522533260713
4,ets,33,1.5216838908674908,37.58150370279799,4551.823510133497,4662.4147697141325,2.3719738599621945
4,last_value,33,1.4487714611681555,33.636624331354426,4662.4147697141325,4662.4147697141325,0.0
4,rolling_mean_4w,33,1.6199738431143391,38.874134327922974,4842.009202534031,4662.4147697141325,-3.8519617342176087
4,seasonal_naive_52w,33,1.895762027993433,45.45928270034915,4958.9453668613,4662.4147697141325,-6.360021829747
4,xgb_gdelt_features,33,2.2477199614842465,49.63047146525055,5645.1373357464,4662.4147697141325,-21.077544889737926
4,xgb_target_history,33,2.3298481285935284,51.57168094120767,5801.886509003555,4662.4147697141325,-24.43951890962475
4,xgb_gdelt_world_bank,33,2.3411533945798375,52.318438976979245,5810.990397649574,4662.4147697141325,-24.634780144321322
