split,horizon,model,n,direction_accuracy,large_rise_fraction,n_actual_large_rises,large_rise_direction_recall,large_rise_magnitude_recall,mean_error_on_large_rises
cv,1,ets,36,0.5,0.2,4,0.25,0.0,-5261.969748104027
cv,1,last_value,36,0.0,0.2,4,0.0,0.0,-4478.75
cv,1,ridge_log_history,36,0.6111111111111112,0.2,4,0.0,0.0,-5558.53205606408
cv,1,rolling_mean_4w,36,0.5,0.2,4,0.25,0.0,-5657.5
cv,1,seasonal_naive_52w,36,0.4444444444444444,0.2,4,0.75,0.75,-3524.0
cv,1,xgb_gdelt_features,36,0.5277777777777778,0.2,4,0.5,0.5,-3995.921142578125
cv,1,xgb_gdelt_world_bank,36,0.5277777777777778,0.2,4,0.5,0.5,-4059.0994873046875
cv,1,xgb_target_history,36,0.5555555555555556,0.2,4,0.75,0.5,-4861.445068359375
cv,2,ets,35,0.5142857142857142,0.2,4,0.5,0.0,-7587.491337971283
cv,2,last_value,35,0.02857142857142857,0.2,4,0.0,0.0,-6887.25
cv,2,ridge_log_history,35,0.7428571428571429,0.2,4,0.5,0.0,-7852.960837765803
cv,2,rolling_mean_4w,35,0.5142857142857142,0.2,4,0.5,0.0,-7869.0625
cv,2,seasonal_naive_52w,35,0.5142857142857142,0.2,4,0.75,0.75,-6010.0
cv,2,xgb_gdelt_features,35,0.42857142857142855,0.2,4,0.75,0.75,-6150.6788330078125
cv,2,xgb_gdelt_world_bank,35,0.42857142857142855,0.2,4,0.75,0.75,-6298.866455078125
cv,2,xgb_target_history,35,0.42857142857142855,0.2,4,0.75,0.5,-6685.2469482421875
cv,3,ets,34,0.5,0.2,5,0.6,0.0,-7848.502931432015
cv,3,last_value,34,0.0,0.2,5,0.0,0.0,-7174.0
cv,3,ridge_log_history,34,0.7352941176470589,0.2,5,0.6,0.0,-8051.805658737588
cv,3,rolling_mean_4w,34,0.4411764705882353,0.2,5,0.4,0.0,-8133.7
cv,3,seasonal_naive_52w,34,0.5294117647058824,0.2,5,1.0,0.8,-5191.0
cv,3,xgb_gdelt_features,34,0.3235294117647059,0.2,5,0.8,0.6,-6679.0119140625
cv,3,xgb_gdelt_world_bank,34,0.3235294117647059,0.2,5,0.8,0.4,-7160.8744140625
cv,3,xgb_target_history,34,0.29411764705882354,0.2,5,0.6,0.6,-7137.10390625
cv,4,ets,33,0.3939393939393939,0.2,7,0.5714285714285714,0.2857142857142857,-6696.280331522726
cv,4,last_value,33,0.0,0.2,7,0.0,0.0,-6520.571428571428
cv,4,ridge_log_history,33,0.696969696969697,0.2,7,0.5714285714285714,0.14285714285714285,-6885.583382178392
cv,4,rolling_mean_4w,33,0.36363636363636365,0.2,7,0.5714285714285714,0.0,-7008.785714285715
cv,4,seasonal_naive_52w,33,0.45454545454545453,0.2,7,0.8571428571428571,0.8571428571428571,-3599.8571428571427
cv,4,xgb_gdelt_features,33,0.2727272727272727,0.2,7,0.8571428571428571,0.7142857142857143,-4704.341378348215
cv,4,xgb_gdelt_world_bank,33,0.30303030303030304,0.2,7,0.8571428571428571,0.7142857142857143,-5476.356794084822
cv,4,xgb_target_history,33,0.2727272727272727,0.2,7,0.8571428571428571,0.8571428571428571,-4722.227190290178
holdout,1,ets,12,0.5833333333333334,0.2,2,1.0,0.5,-1232.37361754445
holdout,1,last_value,12,0.0,0.2,2,0.0,0.0,-1948.5
holdout,1,ridge_log_history,12,0.75,0.2,2,0.5,0.0,-1811.9184311590311
holdout,1,rolling_mean_4w,12,0.6666666666666666,0.2,2,1.0,0.0,-1482.375
holdout,1,seasonal_naive_52w,12,0.4166666666666667,0.2,2,1.0,1.0,1464.5
holdout,1,xgb_gdelt_features,12,0.5833333333333334,0.2,2,1.0,0.5,-716.118896484375
holdout,1,xgb_gdelt_world_bank,12,0.5833333333333334,0.2,2,1.0,1.0,-626.85302734375
holdout,1,xgb_target_history,12,0.5833333333333334,0.2,2,1.0,0.5,-855.73388671875
holdout,2,ets,12,0.5833333333333334,0.2,4,0.75,0.5,-957.4408448949077
holdout,2,last_value,12,0.0,0.2,4,0.0,0.0,-1571.25
holdout,2,ridge_log_history,12,0.75,0.2,4,0.75,0.0,-1478.784067606214
holdout,2,rolling_mean_4w,12,0.6666666666666666,0.2,4,0.75,0.0,-1402.0625
holdout,2,seasonal_naive_52w,12,0.6666666666666666,0.2,4,1.0,1.0,2449.0
holdout,2,xgb_gdelt_features,12,0.6666666666666666,0.2,4,1.0,0.75,-481.39892578125
holdout,2,xgb_gdelt_world_bank,12,0.6666666666666666,0.2,4,1.0,0.75,-360.48681640625
holdout,2,xgb_target_history,12,0.5833333333333334,0.2,4,0.75,0.75,-555.0352783203125
holdout,3,ets,12,0.8333333333333334,0.2,3,1.0,0.3333333333333333,-1045.92063310094
holdout,3,last_value,12,0.0,0.2,3,0.0,0.0,-2010.0
holdout,3,ridge_log_history,12,0.75,0.2,3,0.6666666666666666,0.0,-1793.433266066947
holdout,3,rolling_mean_4w,12,0.75,0.2,3,0.6666666666666666,0.3333333333333333,-1361.9166666666667
holdout,3,seasonal_naive_52w,12,0.75,0.2,3,1.0,1.0,2294.3333333333335
holdout,3,xgb_gdelt_features,12,0.6666666666666666,0.2,3,1.0,1.0,-312.3966471354167
